"site","plot","salinity","DO","Barnacle..","Diam","Alive"
"High Banks",1,27,2.2,1,3.69815114382865,1
"High Banks",1,27,2.2,2,2.32629246582572,1
"High Banks",1,27,2.2,3,1.30018889072826,1
"High Banks",1,27,2.2,4,5.90166665380238,0
"High Banks",1,27,2.2,5,3.24539955913815,1
"High Banks",1,27,2.2,6,22.0961816404015,1
"High Banks",1,27,2.2,7,7.54247773947439,1
"High Banks",1,27,2.2,8,20.4634801303887,1
"High Banks",1,27,2.2,9,2.10271570141438,1
"High Banks",1,27,2.2,10,4.66815747959147,1
"High Banks",2,27,2.2,11,38.7141042169674,1
"High Banks",2,27,2.2,12,1.11931448878971,1
"High Banks",2,27,2.2,13,12.870853646709,1
"High Banks",2,27,2.2,14,23.6585627938794,1
"High Banks",2,27,2.2,15,16.7717321215816,1
"High Banks",2,27,2.2,16,3.408713476909,1
"High Banks",2,27,2.2,17,6.97345346510588,1
"High Banks",2,27,2.2,18,12.341062340953,1
"High Banks",2,27,2.2,19,2.44574320373272,1
"High Banks",2,27,2.2,20,3.14145071822521,1
"High Banks",2,27,2.2,21,5.06039576624264,1
"High Banks",2,27,2.2,22,3.22847280703737,1
"High Banks",2,27,2.2,23,2.46942156677061,1
"Patience",1,25,1.4,1,7.92721973383589,1
"Patience",1,25,1.4,2,1.74623332464689,1
"Patience",1,25,1.4,3,10.1196560873987,0
"Patience",1,25,1.4,4,0.930344487600923,1
"Patience",1,25,1.4,5,6.32632741314434,1
"Patience",2,25,1.4,6,3.23839992499447,0
"Patience",2,25,1.4,7,3.66473531812071,1
"Patience",2,25,1.4,8,3.97728133141621,1
"Patience",2,25,1.4,9,24.2656448206951,1
"Patience",2,25,1.4,10,1.3921849781906,1
"Patience",2,25,1.4,11,6.79660543753726,1
"Patience",2,25,1.4,12,3.27962892047162,1
"Patience",2,25,1.4,13,24.9456135792919,1
"Patience",2,25,1.4,14,7.57677690223167,0
"Patience",2,25,1.4,15,24.1841233612567,1
"Patience",2,25,1.4,16,21.1501452446119,1
"Patience",2,25,1.4,17,10.4362655046531,1
"Patience",2,25,1.4,18,5.47904634819026,1
"Patience",2,25,1.4,19,13.9725157133228,1
"Fox Island",1,34,5.1,1,2.69381616158743,1
"Fox Island",1,34,5.1,2,2.91607621789435,0
"Fox Island",1,34,5.1,3,2.9699944401245,1
"Fox Island",1,34,5.1,4,2.09202128526748,1
"Fox Island",1,34,5.1,5,3.42441119235073,1
"Fox Island",1,34,5.1,6,2.98229725950452,1
"Fox Island",1,34,5.1,7,2.66192303674658,1
"Fox Island",1,34,5.1,8,3.08996419359826,1
"Fox Island",1,34,5.1,9,2.60671791246482,1
"Fox Island",1,34,5.1,10,2.33721165530808,1
"Fox Island",1,34,5.1,11,3.34908965836158,1
"Fox Island",1,34,5.1,12,2.71995199386602,0
"Fox Island",1,34,5.1,13,3.92517452029443,1
"Fox Island",1,34,5.1,14,2.66119464716931,1
"Fox Island",1,34,5.1,15,2.54431503479822,1
"Fox Island",1,34,5.1,16,2.81045422863795,1
"Fox Island",1,34,5.1,17,3.81049166892446,0
"Fox Island",1,34,5.1,18,2.57186106873447,1
"Fox Island",1,34,5.1,19,2.82190084852889,1
"Fox Island",1,34,5.1,20,2.46983889319145,1
"Fox Island",1,34,5.1,21,2.79690196613947,1
"Fox Island",1,34,5.1,22,3.30211961381154,1
"Fox Island",1,34,5.1,23,3.59744108551341,0
"Fox Island",1,34,5.1,24,3.10556643046317,1
"Fox Island",1,34,5.1,25,2.40244207728859,1
"Fox Island",1,34,5.1,26,2.55358892668347,1
"Fox Island",1,34,5.1,27,2.59626226480369,1
"Fox Island",2,34,5.1,28,2.36193717982026,1
"Fox Island",2,34,5.1,29,3.10751000496213,1
"Fox Island",2,34,5.1,30,3.41815808800446,0
"Fox Island",2,34,5.1,31,2.60643860796153,1
"Fox Island",2,34,5.1,32,3.13078512577433,1
"Fox Island",2,34,5.1,33,4.26250824736173,1
"Fox Island",2,34,5.1,34,2.8597875464942,1
"Fox Island",2,34,5.1,35,2.79460163988402,1
"Fox Island",2,34,5.1,36,2.36666107395241,1
"Fox Island",2,34,5.1,37,2.34107518874438,1
"Fox Island",2,34,5.1,38,2.91048423799121,0
"Fox Island",2,34,5.1,39,2.61738943364559,1
"Fox Island",2,34,5.1,40,2.53302318658088,0
"Fox Island",2,34,5.1,41,3.16306160828814,1
"Fox Island",2,34,5.1,42,3.51112118241251,1
"Fox Island",2,34,5.1,43,3.05786378000779,1
"Fox Island",2,34,5.1,44,2.61531170150659,1
"Fox Island",2,34,5.1,45,2.8764442274942,1
"Fox Island",2,34,5.1,46,3.30712118029352,1
"Fox Island",2,34,5.1,47,2.80161731769373,1
"Fox Island",2,34,5.1,48,3.59372194993888,1
"Fox Island",2,34,5.1,49,3.27511361172566,1
"Fox Island",2,34,5.1,50,3.41810760421182,1
"Fox Island",2,34,5.1,51,2.87249930800234,1
"Fox Island",2,34,5.1,52,3.19494887462924,1
"Fox Island",2,34,5.1,53,3.62163409623008,1
"Fox Island",2,34,5.1,54,2.78742371114918,1
"Fox Island",2,34,5.1,55,3.21784840544203,0
"Fox Island",2,34,5.1,56,2.73740732259766,1
"Fox Island",2,34,5.1,57,3.37082015348359,1
"Bristol",1,25,3.3,1,21.9294850252631,1
"Bristol",1,25,3.3,2,3.72121305503875,1
"Bristol",1,25,3.3,3,4.97341091929667,1
"Bristol",1,25,3.3,4,3.74670012616292,1
"Bristol",1,25,3.3,5,2.32143792818216,1
"Bristol",1,25,3.3,6,8.51577749913046,1
"Bristol",1,25,3.3,7,7.52605882688894,1
"Bristol",1,25,3.3,8,1.38569298715414,1
"Bristol",1,25,3.3,9,5.65584742784577,1
"Bristol",2,25,3.3,10,5.93898357298737,1
"Bristol",2,25,3.3,11,34.0978240961975,0
"Bristol",2,25,3.3,12,5.13506127445638,1
"Bristol",2,25,3.3,13,4.34986909397972,0
"Bristol",2,25,3.3,14,14.0857289629405,1
"Bristol",2,25,3.3,15,2.62979017694597,1
"Bristol",2,25,3.3,16,3.65143215700599,1
"Bristol",2,25,3.3,17,10.6563345988502,1
"Bristol",2,25,3.3,18,5.91623544100677,1
"Bristol",2,25,3.3,19,8.10054706314138,1
"Bristol",2,25,3.3,20,5.35729523460948,1
"Bristol",2,25,3.3,21,7.69661965779963,1
"Hog Island",1,29,2.7,1,2.18504700878751,0
"Hog Island",1,29,2.7,2,4.12571128822851,1
"Hog Island",1,29,2.7,3,6.19524481116545,0
"Hog Island",1,29,2.7,4,4.86979673456355,1
"Hog Island",1,29,2.7,5,2.36708992973534,1
"Hog Island",1,29,2.7,6,6.0973640364955,1
"Hog Island",1,29,2.7,7,3.53478587077982,1
"Hog Island",1,29,2.7,8,1.34156518111384,1
"Hog Island",1,29,2.7,9,3.06871869080356,1
"Hog Island",1,29,2.7,10,3.39043809058433,1
"Hog Island",1,29,2.7,11,4.04654632072542,1
"Hog Island",1,29,2.7,12,3.92396684195699,1
"Hog Island",1,29,2.7,13,2.76656440750868,1
"Hog Island",1,29,2.7,14,3.7368513088754,1
"Hog Island",2,29,2.7,15,7.67553170876602,1
"Hog Island",2,29,2.7,16,2.29236532468617,1
"Hog Island",2,29,2.7,17,2.97670943560554,1
"Hog Island",2,29,2.7,18,1.89969319325505,1
"Hog Island",2,29,2.7,19,4.21384225480865,1
"Hog Island",2,29,2.7,20,2.79970702982479,1
"Hog Island",2,29,2.7,21,5.93076053460712,1
"Hog Island",2,29,2.7,22,3.83494333892361,1
"Hog Island",2,29,2.7,23,2.95593276079631,1
"Hog Island",2,29,2.7,24,7.97890133561912,0
"Hog Island",2,29,2.7,25,3.83917822772841,1
"Hog Island",2,29,2.7,26,5.14563358972728,1
"Hog Island",2,29,2.7,27,5.01203032491344,1
"Hog Island",2,29,2.7,28,1.81276586866125,0
"Hog Island",2,29,2.7,29,2.73718932582793,1
